,time,positions_axis_1,positions_axis_2,positions_axis_3,positions_axis_4,positions_axis_5,positions_axis_6,velocities_axis_1,velocities_axis_2,velocities_axis_3,velocities_axis_4,velocities_axis_5,velocities_axis_6,accelerations_axis_1,accelerations_axis_2,accelerations_axis_3,accelerations_axis_4,accelerations_axis_5,accelerations_axis_6
21,2.1,-0.15697302219154438,0.17994841178169282,0.3120506876729705,-0.39500000000000035,0.16071975014269885,0.38144307082044454,-0.07948001123621935,0.09111311988945832,0.07192439882175206,-0.199999999999986,0.08137708867984172,0.19313573206097098,5.567735228283901e-12,-6.3848903986041744e-12,-5.027581810614567e-12,1.3988588508872486e-11,-5.692386016976823e-12,-1.3517685529365888e-11
22,2.2,-0.16492102331516664,0.189059723770639,0.319243127555146,-0.4149999999999998,0.16885745901068333,0.40075664402654243,-0.07948001123621935,0.09111311988945832,0.07192439882175206,-0.199999999999986,0.08137708867984172,0.19313573206097098,5.567735228283901e-12,-6.3848903986041744e-12,-5.027581810614567e-12,1.3988588508872486e-11,-5.692386016976823e-12,-1.3517685529365888e-11
23,2.3,-0.17286902443878885,0.1981710357595852,0.32643556743732144,-0.43499999999999905,0.17699516787866776,0.4200702172326402,-0.07948001123621935,0.09111311988945832,0.07192439882175206,-0.199999999999986,0.08137708867984172,0.19313573206097098,5.567735228283901e-12,-6.3848903986041744e-12,-5.027581810614567e-12,1.3988588508872486e-11,-5.692386016976823e-12,-1.3517685529365888e-11
24,2.4,-0.18081702556241105,0.20728234774853133,0.3336280073194969,-0.4549999999999984,0.18513287674665224,0.43938379043873793,-0.07948001123621935,0.09111311988945832,0.07192439882175206,-0.199999999999986,0.08137708867984172,0.19313573206097098,5.567735228283901e-12,-6.3848903986041744e-12,-5.027581810614567e-12,1.3988588508872486e-11,-5.692386016976823e-12,-1.3517685529365888e-11
25,2.5,-0.1887650266860332,0.21639365973747737,0.34082044720167237,-0.47499999999999754,0.19327058561463664,0.4586973636448356,-0.07948001123621938,0.09111311988945826,0.07192439882175214,-0.19999999999998613,0.08137708867984175,0.19313573206097098,5.512334877753713e-12,-6.315639960441439e-12,-4.986031547716926e-12,1.3850087632547016e-11,-5.636985666446636e-12,-1.3406884828305512e-11
26,2.6,-0.19671302780965547,0.2255049717264236,0.3480128870838478,-0.49499999999999694,0.20140829448262115,0.47801093685093343,-0.07948001123621938,0.09111311988945826,0.07192439882175214,-0.19999999999998613,0.08137708867984175,0.19313573206097098,5.512334877753713e-12,-6.315639960441439e-12,-4.986031547716926e-12,1.3850087632547016e-11,-5.636985666446636e-12,-1.3406884828305512e-11
27,2.7,-0.2046610289332777,0.23461628371536972,0.35520532696602325,-0.5149999999999962,0.20954600335060558,0.49732451005703127,-0.07948001123621938,0.09111311988945826,0.07192439882175214,-0.19999999999998613,0.08137708867984175,0.19313573206097098,5.512334877753713e-12,-6.315639960441439e-12,-4.986031547716926e-12,1.3850087632547016e-11,-5.636985666446636e-12,-1.3406884828305512e-11
28,2.8,-0.21260903005689985,0.24372759570431585,0.3623977668481987,-0.5349999999999955,0.21768371221859004,0.516638083263129,-0.07948001123621941,0.0911131198894583,0.0719243988217521,-0.19999999999998586,0.08137708867984178,0.19313573206097095,5.623135578814088e-12,-6.440290749134363e-12,-5.082982161144755e-12,1.4127089385197956e-11,-5.761636455139558e-12,-1.3656186405691358e-11
29,2.9,-0.22055703118052206,0.252838907693262,0.3695902067303741,-0.5549999999999947,0.2258214210865745,0.5359516564692267,-0.07948001123621941,0.0911131198894583,0.0719243988217521,-0.19999999999998586,0.08137708867984178,0.19313573206097095,5.623135578814088e-12,-6.440290749134363e-12,-5.082982161144755e-12,1.4127089385197956e-11,-5.761636455139558e-12,-1.3656186405691358e-11
30,3.0,-0.22850503230414426,0.2619502196822081,0.3767826466125496,-0.574999999999994,0.23395912995455892,0.5552652296753244,-0.07948001123621941,0.0911131198894583,0.0719243988217521,-0.19999999999998586,0.08137708867984178,0.19313573206097095,5.623135578814088e-12,-6.440290749134363e-12,-5.082982161144755e-12,1.4127089385197956e-11,-5.761636455139558e-12,-1.3656186405691358e-11
31,3.1,-0.23645303342776652,0.27106153167115427,0.3839750864947251,-0.5949999999999933,0.2420968388225434,0.5745788028814222,-0.07948001123621941,0.0911131198894583,0.0719243988217521,-0.19999999999998586,0.08137708867984178,0.19313573206097095,5.623135578814088e-12,-6.440290749134363e-12,-5.082982161144755e-12,1.4127089385197956e-11,-5.761636455139558e-12,-1.3656186405691358e-11
32,3.2,-0.24440103455138878,0.2801728436601005,0.39116752637690055,-0.6149999999999927,0.2502345476905279,0.5938923760875201,-0.07948001123621937,0.0911131198894584,0.07192439882175221,-0.1999999999999863,0.08137708867984182,0.19313573206097084,5.443084439590978e-12,-6.2325394346461575e-12,-4.916781109554191e-12,1.3711586756221546e-11,-5.567735228283901e-12,-1.3212983601449853e-11
33,3.3,-0.25234903567501155,0.28928415564904725,0.39835996625907655,-0.6349999999999933,0.2583722565585129,0.613205949293619,-0.07948001123623512,0.09111311988947646,0.07192439882176646,-0.20000000000002596,0.08137708867985795,0.19313573206100912,-1.027676502335444e-11,1.1786424575302734e-11,9.30725888907572e-12,-2.5871963697609293e-11,1.0526066600740397e-11,2.498555808912589e-11
34,3.4,-0.2602970367986345,0.2983954676379943,0.40555240614125276,-0.6549999999999947,0.2665099654264982,0.6325195224997188,-0.07948001123623512,0.09111311988947646,0.07192439882176646,-0.20000000000002596,0.08137708867985795,0.19313573206100912,-1.027676502335444e-11,1.1786424575302734e-11,9.30725888907572e-12,-2.5871963697609293e-11,1.0526066600740397e-11,2.498555808912589e-11
